[21-Jan-2024 11:44:24 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-admin\includes\media.php on line 3867
[24-Jan-2024 21:58:43 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\html-api\class-wp-html-token.php on line 107
[24-Jan-2024 21:58:45 UTC] PHP Fatal error:  Uncaught Error: Call to a member function set() on null in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php:806
Stack trace:
#0 C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php(900): load_textdomain('default', 'C:\\MAMP\\htdocs\\...', 'fr_FR')
#1 C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-fatal-error-handler.php(47): load_default_textdomain()
#2 [internal function]: WP_Fatal_Error_Handler->handle()
#3 {main}
  thrown in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php on line 806
[24-Jan-2024 22:02:43 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\rest-api\endpoints\class-wp-rest-application-passwords-controller.php on line 849
[24-Jan-2024 22:02:45 UTC] PHP Fatal error:  Uncaught Error: Call to a member function set() on null in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php:806
Stack trace:
#0 C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php(900): load_textdomain('default', 'C:\\MAMP\\htdocs\\...', 'fr_FR')
#1 C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-fatal-error-handler.php(47): load_default_textdomain()
#2 [internal function]: WP_Fatal_Error_Handler->handle()
#3 {main}
  thrown in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php on line 806
[24-Jan-2024 22:06:48 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\Requests\src\Requests.php on line 1100
[24-Jan-2024 22:06:51 UTC] PHP Fatal error:  Uncaught Error: Call to a member function set() on null in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php:806
Stack trace:
#0 C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php(900): load_textdomain('default', 'C:\\MAMP\\htdocs\\...', 'fr_FR')
#1 C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-fatal-error-handler.php(47): load_default_textdomain()
#2 [internal function]: WP_Fatal_Error_Handler->handle()
#3 {main}
  thrown in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php on line 806
